PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
CP000447,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 3,"36.0094872,36.3795089",IS,0,0,0,0,720,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000445,Idleb,Harim,Sarmada,Ghetaa Al Rahma2 (Al Kamouneh),"36.1645356,36.7480828",IS,241,235,194,180,850,0.99,0,0,0,0,0,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.2779961,36.7462778",IS,0,0,0,0,130,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.2695606,36.768565",IS,0,0,0,0,850,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.2368778,36.7848356",IS,0,0,0,0,173,0,0,0,0,0.2,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.2438617,36.7901739",IS,0,0,0,0,259,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.2401517,36.7609806",IS,0,0,0,0,935,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000439,Idleb,Harim,Deir Hassan,Morek,"36.2478967,36.7435328",IS,0,0,0,0,2556,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.2400611,36.7238456",IS,0,0,0,0,569,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.2497156,36.748545",IS,0,0,0,0,230,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.2299522,36.7416211",IS,0,0,0,0,665,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000434,Idleb,Harim,Bab Al Hawa,Al Bardakli,"36.2151972,36.7252778",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000433,Aleppo,A'zaz,Azaz,Al Helal,"36.6355211,37.1083783",IS,0,0,0,0,125,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000424,Idleb,Jisr-Ash-Shugur,Darkosh,Al Bonyan,"36.0002828,36.3203489",IS,0,0,0,0,670,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000423,Idleb,Harim,Salam,Mareiwdah,"36.2938467,36.7291922",IS,0,0,0,0,197,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000422,Idleb,Harim,Qah,Shuhada Khan Sheikhon,"36.2914989,36.708335",IS,0,0,0,0,1147,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000420,Idleb,Harim,Karama,Khan Sheikhon Al Kemawi,"36.2862961,36.695995",IS,0,0,0,0,60,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000419,Aleppo,Jebel Saman,Atareb,Mezanaz Transit/Reception Centre,"36.063247,36.860725",TC,367,367,500,236,1470,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000418,Idleb,Harim,Sarmada,Al Rahman,"36.202867, 36.682187",IS,0,0,0,0,0,0,0,0,0,1,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.2246472, 36.7942361",IS,157,146,79,89,471,0,1,0.56,1,0.2,0.45,4. Not covered - N/A,1. Fully covered,2. Mostly covered,1. Fully covered,3. Partially covered,3. Partially covered
CP000414,Idleb,Harim,Harim,Dalama,"36.213593731, 36.521745569",IS,32,40,31,32,135,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000413,Idleb,Harim,Harim,Al Azraq,"36.212593731, 36.520745569",IS,122,128,101,94,445,0.97,1,1,1,0,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000412,Idleb,Harim,Salam,Zahrat Al Khalij Al Arabi,"36.296272732,36.725164884",IS,215,210,206,188,819,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman ,"36.302174,36.730849",IS,0,0,0,0,507,0,1,1,1,0.3,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.280068,36.704645",IS,0,0,0,0,179,0.25,1,1,1,0.25,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.296282,36.748782",IS,0,0,0,0,309,0.15,1,1,1,0.05,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000408,Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,0,0,0,0,1908,0.15,1,1,1,0.15,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.324594,36.68411",IS,413,406,715,504,2038,0.95,1,1,1,0.25,0.4,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,3. Partially covered
CP000406,Aleppo,Jebel Saman,Atareb,Alabiad (including Allhyba),"36.066744,36.884078",IS,360,300,500,490,1650,0.22,1,0.6,0.5,1,0.2,3. Partially covered,1. Fully covered,2. Mostly covered,3. Partially covered,1. Fully covered,3. Partially covered
CP000405,Idleb,Harim,Sarmada,Al Fateh,"36.251039,36.70816",IS,82,78,72,70,302,0.5,1,1,1,0.5,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000404,Idleb,Harim,Sarmada,Al Faroq Omar,"36.209293,36.708312",IS,0,0,0,0,858,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000403,Idleb,Harim,Sarmada,Al Faraj (Al Ghab),"36.200495,36.616129",IS,372,359,330,317,1378,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000402,Idleb,Idleb,Maaret Tamsrin,Maaret Elekhwan Transit/Reception Centre,"36.07669,36.692203",T/RC,308,309,215,124,956,1,1,1,1,1,0.5,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered
CP000390,Idleb,Harim,Harim,Al Madenh Monarh (Harim),"36.198353731,36.498175569",IS,76,80,70,66,292,0.95,1,1,1,0,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000388,Idleb,Harim,Salam,Al Madiq 1,"36.302975367,36.719929742",IS,23,37,29,26,115,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000387,Idleb,Harim,Salam,Al Awdah,"36.360032732,36.697404884",IS,54,51,49,45,197,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000386,Idleb,Harim,Qah,Bab Al Hawa extension (Al Mutahaboun Bellah),"36.354692732,36.633804884",IS,273,272,263,255,1063,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000385,Idleb,Harim,Karama,Shuhada Sahl Al Gab,"36.2898805710001,36.739075776",IS,183,169,164,171,687,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000384,Idleb,Harim,Karama,Nour Hama,"36.2019005710001,36.608825776",IS,0,0,0,0,212,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000383,Idleb,Harim,Karama,Moatakalen Sahl Al Gab,"36.3185105710001,36.756495776",IS,0,0,0,0,1617,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000382,Idleb,Harim,Karama,Al Karim Al Awsat,"36.3965405710001,36.688045776",IS,191,185,179,167,722,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000381,Idleb,Harim,Karama,Al Jabal,"36.3555105710001,36.638085776",IS,76,73,67,57,273,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000380,Idleb,Harim,Karama,Al Haneen,"36.3035005710001,36.676635776",IS,133,129,127,117,506,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000379,Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.2322905710001,36.641295776",IS,102,98,95,81,376,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.223600207,36.7063965120001",IS,0,0,0,0,1660,0.2,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000369,Idleb,Harim,Karama,Act and Impact (Athar),"36.270986,36.787651",PC,292,243,62,51,904,1,1,1,0.7,1,1,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered
CP000365,Aleppo,A'zaz,Azaz,Al Shahba,"36.487114,37.085992",IS,342,299,342,251,1234,0.9,0,0,0,0,0.3,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000364,Aleppo,A'zaz,Azaz,Azaz Transit/Reception Centre,"36.611164,37.115983",TC,267,268,171,108,814,1,1,1,1,1,0.3,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered
CP000341,Idleb,Jisr-Ash-Shugur,Darkosh,Ali Bin Abi Taleb,"35.952744,36.219395",IS,444,455,340,308,1547,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.24321604,36.72528357",IS,0,0,0,0,1101,0.35,1,1,1,0.35,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.1943745350001,36.7625536000001",IS,0,0,0,0,1403,0.35,1,1,1,0.35,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.1407745350001,36.7593336000001",IS,0,0,0,0,279,0.25,1,1,1,0.25,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.1811645350001,36.7420136",IS,124,70,70,51,315,0.1,0,0,0,0.1,0,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.1887045350001,36.7421736000001",IS,0,0,0,0,479,0.35,1,1,1,0.35,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.199996,36.706463",IS,0,0,0,0,370,0.3,1,1,1,0.3,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.3177745350001,36.7011336000001",IS,0,0,0,0,1930,0.3,1,1,1,0.3,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.277729,36.755846",IS,235,227,202,176,840,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000332,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Al Fateha,"35.9187840420001,36.18200645",IS,233,182,133,128,676,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000331,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Kaderiyeh,"35.915600696,36.301948886",IS,36,36,33,24,129,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000330,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 1 (Sham),"35.9420625860001,36.1988687320001",IS,729,770,1162,1077,3738,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.251503,36.734224",IS,0,0,0,0,4039,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000327,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Omar,"35.8357240420001,36.1797264500001",IS,270,244,228,212,954,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000326,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Ein Al Bayda,"35.9352240420001,36.19252645",IS,785,812,1410,1302,4309,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000325,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Ataa Al Kheir,"35.8937640420001,36.2178264500001",IS,409,311,291,254,1265,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000324,Idleb,Harim,Salam,Zahrat Al Jolan,"36.359462732,36.697634884",IS,173,167,165,156,661,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000323,Idleb,Harim,Salam,Shuhada Kafr Nabutha,"36.259522732,36.740074884",IS,175,170,168,160,673,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000322,Idleb,Harim,Salam,Muhajreen Al Gab,"36.231982732,36.683304884",IS,153,149,143,137,582,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000321,Idleb,Harim,Salam,Kafr Nabutha Alhora,"36.382872732,36.749524884",IS,134,129,123,112,498,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000320,Idleb,Harim,Salam,Kafr Nabutha Al Amal,"36.365322732,36.743014884",IS,125,121,117,101,464,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000319,Idleb,Harim,Salam,Al Goroub,"36.367132732,36.625524884",IS,163,204,156,152,675,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000318,Idleb,Harim,Salam,Abl Baydar,"36.374842732,36.751344884",IS,93,89,87,78,347,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000317,Idleb,Harim,Qah,Ataa 9b (Nasaem Alkhair),"36.207072732,36.667284884",PC,177,150,250,200,777,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000316,Idleb,Harim,Qah,Ataa 9a (Hamad Al Ammar 2),"36.316972732,36.761984884",PC,147,151,244,195,737,1,0.9,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000315,Idleb,Harim,Qah,Ataa 8 (Shabab Al Khayr 2),"36.252352732,36.697724884",PC,399,370,447,404,1620,1,0.9,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000314,Idleb,Harim,Qah,Ataa 7b (Ataa Almara Alkwaityeh 2),"36.205152732,36.638444884",PC,345,215,375,315,1250,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000313,Idleb,Harim,Qah,Ataa 7a (Ataa Almara Alkwaityeh 1),"36.370162732,36.725224884",PC,189,180,301,250,920,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000312,Idleb,Harim,Qah,Ataa 4 (Al Reaya Al Islamiya),"36.281572732,36.713254884",PC,208,170,310,257,945,1,0.8,0.85,0.85,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000311,Idleb,Harim,Qah,Nasret Al Rasoul,"36.257992732,36.768944884",IS,272,265,240,231,1008,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000310,Idleb,Harim,Qah,Alebaa,"36.271637,36.696107",IS,203,196,173,152,725,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000309,Idleb,Harim,Qah,Al Radwan,"36.214582732,36.640624884",IS,81,77,69,59,286,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000308,Idleb,Harim,Qah,Ahbab Al Rasoul,"36.322882732,36.733684884",IS,147,146,171,171,635,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000307,Idleb,Harim,Qah,Afamia,"36.374172732,36.641074884",IS,218,209,194,186,807,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000306,Idleb,Harim,Liyajlikum,Fateh Aleslam,"36.226132732,36.630274884",IS,0,0,0,0,501,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000305,Idleb,Harim,Liyajlikum,Farajak Yarab,"36.319242732,36.788684884",IS,0,0,0,0,402,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000304,Idleb,Harim,Liyajlikum,Bara`m Al Thawra,"36.336282732,36.721884884",IS,0,0,0,0,823,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000303,Idleb,Harim,Liyajlikum,Al Ikhlas and Al Taqua,"36.351822732,36.659004884",IS,256,339,172,130,897,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000302,Idleb,Harim,Liyajlikum,Al Fateh Al Araby,"36.323172732,36.687794884",IS,0,0,0,0,487,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000301,Idleb,Harim,Liyajlikum,Ain Jaloot,"36.256922732,36.716664884",IS,0,0,0,0,461,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000300,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 2 (Sadaka Tashi),"35.921644,36.1898236",PC,295,337,317,345,1294,1,1,1,1,0.1,0.1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,3. Partially covered
CP000294,Aleppo,A'zaz,Azaz,Talil Elsham Southern,"36.661277,37.131465",IS,666,602,473,408,2149,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000293,Aleppo,A'zaz,Azaz,Talil Elsham school,"36.6496559,37.160633",IS,1000,902,709,612,3223,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000292,Aleppo,A'zaz,Azaz,Al Zeytoun (Olive),"36.541687,37.011161",IS,357,334,242,219,1152,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000291,Aleppo,A'zaz,Azaz,Yazibag,"36.563278,37.081323",IS,3343,3458,2826,2540,12167,0,1,0,0.25,0,0,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A
CP000290,Aleppo,A'zaz,Azaz,Al Rayan,"36.702078,37.0032138",IS,2986,2880,2453,2346,10665,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000289,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 3 (Al Ikhaa),"36.00058,36.300895",IS,306,331,447,384,1468,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000284,Idleb,Harim,Harim,Abna`a Al Ghab,"36.2069247990001,36.40878495",IS,127,122,114,97,460,0.97,1,1,1,0,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000283,Aleppo,Jebel Saman,Atareb,Ra'a,"36.1682667,36.7076",IS,256,230,370,350,1206,0.38,0,0,0,1,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
CP000282,Idleb,Harim,Qah,Sarkhat Tifl,"36.389192732,36.656234884",IS,124,133,109,120,486,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
